Investors,InvestorLink,Latest,Seed,Growth,Legal,GRC,RiskTech,FinTech,WealthTech,Participation
NSF Small Business Innovation Research / Small Business Technology Transfer (SBIR/STTR),https://www.google.com/search?q=NSF+Small+Business+Innovation+Research+/+Small+Business+Technology+Transfer+(SBIR/STTR)+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,11,0,4,7,0,0,141885000
KTH Holding,https://www.google.com/search?q=KTH+Holding+AND+Crunchbase+OR+LinkedIn,Jul 2021,5,7,0,7,0,0,0,195198864
Research Innovation Incubation Design Laboratory,https://www.google.com/search?q=Research+Innovation+Incubation+Design+Laboratory+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,0,0,0,0,3,0,9000000
"The R-Group, LLC","https://www.google.com/search?q=The+R-Group,+LLC+AND+Crunchbase+OR+LinkedIn",Jul 2021,3,5,0,0,0,5,3,208500000
Saarbruecker 21,https://www.google.com/search?q=Saarbruecker+21+AND+Crunchbase+OR+LinkedIn,Jul 2021,2,0,0,2,0,0,0,26200000
Vision Knight Capital,https://www.google.com/search?q=Vision+Knight+Capital+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,5,0,0,3,0,0,107783744
Truffle Capital,https://www.google.com/search?q=Truffle+Capital+AND+Crunchbase+OR+LinkedIn,Jul 2021,2,6,0,0,0,8,0,80592716
Michael Ruettgers,https://www.google.com/search?q=Michael+Ruettgers+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,5,0,0,5,0,0,673000000
ID Theory,https://www.google.com/search?q=ID+Theory+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,1,0,0,0,1,0,4400000
Doug Band,https://www.google.com/search?q=Doug+Band+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,2,0,0,0,2,0,26000000
Niyogin Fintech Ltd.,https://www.google.com/search?q=Niyogin+Fintech+Ltd.+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,12,0,0,0,12,0,4094400000
Kirk Brown,https://www.google.com/search?q=Kirk+Brown+AND+Crunchbase+OR+LinkedIn,Jul 2021,2,0,0,2,0,0,0,38000000
NP-Hard Ventures,https://www.google.com/search?q=NP-Hard+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,2,0,0,2,0,0,0,26200000
Klay Thompson,https://www.crunchbase.com/person/klay-thompson,Jul 2021,3,0,0,3,0,0,0,75900000
Omer Erkmen,https://www.google.com/search?q=Omer+Erkmen+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,6,0,0,9,0,0,4973400
Nkechi Iregbulem,https://www.google.com/search?q=Nkechi+Iregbulem+AND+Crunchbase+OR+LinkedIn,Jul 2021,11,0,0,0,0,11,0,77000000
Burnt Island Ventures,https://www.google.com/search?q=Burnt+Island+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,4,0,4,0,0,0,22800000
Mike Dinsdale,https://www.google.com/search?q=Mike+Dinsdale+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,8,0,4,0,4,0,622000000
Burak Dayıoğlu,https://www.google.com/search?q=Burak+Dayıoğlu+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,6,0,0,6,0,0,3315600
Western Capital Advisors,https://www.google.com/search?q=Western+Capital+Advisors+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,24,0,0,0,24,0,8188800000
Anne Wojcicki,https://www.google.com/search?q=Anne+Wojcicki+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,23,0,3,20,0,0,6465000000
Up North,https://www.google.com/search?q=Up+North+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,6,0,0,0,6,0,121800000
Tudor Group,https://www.google.com/search?q=Tudor+Group+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,20,0,0,20,0,0,6432000000
Mudrick Capital Management,https://www.crunchbase.com/organization/mudrick-capital-management,Jul 2021,0,2,0,0,0,0,0,67800000
1984 Ventures,https://www.google.com/search?q=1984+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,7,17,0,0,3,17,0,1578997500
Formula VC,https://www.google.com/search?q=Formula+VC+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,6,0,0,0,6,0,121800000
